1,Jan 18 (W),Intro,None
2,Jan 23 (M),Write-optimized systems,WiscKey LSM*
2,Jan 25 (W),Write-optimized systems,PebblesDB SplinterDB*
3,Jan 30 (M),Write-optimized systems,BetrFS
3,Feb 01 (W),Storage reliability,Intro Alice
4,Feb 06 (M),Storage reliability,Redundancy CTRL
4,Feb 08 (W),Replicated storage,Intro consistency
5,Feb 13 (M),Strongly-consistent systems,Protocols: Paxos and Raft
5,Feb 15 (W),Strongly-consistent systems,System: Skyros
6,Feb 20 (M),Strongly-consistent systems,Protocols: PB and Chain replication
6,Feb 22 (W),Strongly-consistent systems,System: CRAQ
7,Feb 27 (M),Shared-log systems,Corfu Tango
7,Mar 01 (W),Shared-log systems,Delos
8,Mar 06 (M),Highly-available storage,Dynamo
8,Mar 08 (W),Highly-available storage,Bayou
9,Mar 13 (M),Spring break!,
9,Mar 15 (W),Spring break!,
10,Mar 20 (M),Distributed file sytems,GFS
10,Mar 22 (W),Distributed file sytems,NFS/AFS
11,Mar 27 (M),Distributed file sytems,LineFS
11,Mar 29 (W),Cold/archival storage,CloudyDisks EC Hitchhiker  
12,Apr 03 (M),Data recovery,RAMCloud CopySets
12,Apr 05 (W),Disaggregated memory,InfiniSwap
13,Apr 10 (M),Disaggregated memory,Hydra Carbink
13,Apr 12 (W),Modern HW/SW,Nova
14,Apr 17 (M),Modern HW/SW,Mnemosyne
14,Apr 19 (W),Modern HW/SW,NVM crash consistency
15,Apr 24 (M),Modern HW/SW,XRP
15,Apr 26 (W),In-class presentations,NA
16,May 01 (M),In-class presentations,NA
16,May 03 (W),Final project reports due,NA
